"i" "rep" "id" "df" "error" "errorMessage"
185 1 1 7 FALSE ""
146 1 2 2 FALSE ""
133 1 3 2 FALSE ""
106 1 4 2 FALSE ""
24 1 5 1 FALSE ""
214 1 6 1 FALSE ""
179 1 7 7 FALSE ""
163 1 8 7 FALSE ""
132 1 9 2 FALSE ""
75 1 10 2 FALSE ""
21 1 11 1 FALSE ""
114 1 12 2 FALSE ""
194 1 13 7 FALSE ""
81 1 14 2 FALSE ""
183 1 15 7 FALSE ""
46 1 16 2 FALSE ""
40 1 17 1 FALSE ""
108 1 18 2 FALSE ""
193 1 19 7 FALSE ""
45 1 20 2 FALSE ""
98 1 21 2 FALSE ""
161 1 22 7 FALSE ""
19 1 23 1 FALSE ""
107 1 24 2 FALSE ""
136 1 25 2 FALSE ""
169 1 26 7 FALSE ""
79 1 27 7 FALSE ""
113 1 28 7 FALSE ""
187 1 29 7 FALSE ""
4 1 30 1 FALSE ""
199 1 31 7 FALSE ""
97 1 32 2 FALSE ""
18 1 33 1 FALSE ""
68 1 34 2 FALSE ""
147 1 35 2 FALSE ""
9 1 36 2 FALSE ""
182 1 37 7 FALSE ""
27 1 38 1 FALSE ""
149 1 39 2 FALSE ""
49 1 40 2 FALSE ""
77 1 41 7 FALSE ""
153 1 42 2 FALSE ""
88 1 43 2 FALSE ""
13 1 44 2 FALSE ""
212 1 45 1 FALSE ""
84 1 46 2 FALSE ""
80 1 47 2 FALSE ""
196 1 48 7 FALSE ""
202 1 49 3 FALSE ""
219 1 50 1 FALSE ""
110 1 51 2 FALSE ""
31 1 52 1 FALSE ""
47 1 53 2 FALSE ""
89 1 54 2 FALSE ""
34 1 55 1 FALSE ""
55 1 56 1 FALSE ""
93 1 57 2 FALSE ""
120 1 58 2 FALSE ""
217 1 59 1 FALSE ""
218 1 60 1 FALSE ""
2 1 61 1 FALSE ""
209 1 62 7 FALSE ""
30 1 63 5 FALSE ""
181 1 64 7 FALSE ""
86 1 65 2 FALSE ""
188 1 66 7 FALSE ""
207 1 67 7 FALSE ""
36 1 68 1 FALSE ""
63 1 69 2 FALSE ""
91 1 70 7 FALSE ""
32 1 71 1 FALSE ""
52 1 72 1 FALSE ""
103 1 73 2 FALSE ""
178 1 74 7 FALSE ""
151 1 75 2 FALSE ""
138 1 76 2 FALSE ""
73 1 77 7 FALSE ""
25 1 78 1 FALSE ""
139 1 79 2 FALSE ""
22 1 80 6 FALSE ""
131 1 81 2 FALSE ""
15 1 82 7 FALSE ""
220 1 83 1 FALSE ""
71 1 84 7 FALSE ""
1 1 85 2 FALSE ""
111 1 86 2 FALSE ""
211 1 87 1 FALSE ""
121 1 88 2 FALSE ""
57 1 89 1 FALSE ""
94 1 90 2 FALSE ""
72 1 91 2 FALSE ""
38 1 92 7 FALSE ""
128 1 93 2 FALSE ""
8 1 94 1 FALSE ""
87 1 95 2 FALSE ""
141 1 96 2 FALSE ""
213 1 97 1 FALSE ""
64 1 98 2 FALSE ""
117 1 99 2 FALSE ""
173 1 100 7 FALSE ""
90 1 101 2 FALSE ""
43 1 102 3 FALSE ""
17 1 103 1 FALSE ""
109 1 104 2 FALSE ""
174 1 105 7 FALSE ""
59 1 106 1 FALSE ""
29 1 107 1 FALSE ""
20 1 108 1 FALSE ""
33 1 109 1 FALSE ""
54 1 110 1 FALSE ""
62 1 111 2 FALSE ""
162 1 112 7 FALSE ""
150 1 113 2 FALSE ""
100 1 114 2 FALSE ""
44 1 115 2 FALSE ""
102 1 116 2 FALSE ""
58 1 117 1 FALSE ""
159 1 118 2 FALSE ""
122 1 119 2 FALSE ""
201 1 120 3 FALSE ""
205 1 121 3 FALSE ""
145 1 122 2 FALSE ""
164 1 123 7 FALSE ""
37 1 124 7 FALSE ""
69 1 125 2 FALSE ""
189 1 126 7 FALSE ""
74 1 127 2 FALSE ""
155 1 128 2 FALSE ""
186 1 129 7 FALSE ""
35 1 130 1 FALSE ""
143 1 131 2 FALSE ""
7 1 132 1 FALSE ""
66 1 133 7 FALSE ""
216 1 134 1 FALSE ""
26 1 135 1 FALSE ""
56 1 136 1 FALSE ""
165 1 137 7 FALSE ""
95 1 138 2 FALSE ""
208 1 139 7 FALSE ""
92 1 140 2 FALSE ""
104 1 141 7 FALSE ""
168 1 142 7 FALSE ""
118 1 143 2 FALSE ""
160 1 144 2 FALSE ""
152 1 145 2 FALSE ""
135 1 146 2 FALSE ""
115 1 147 7 FALSE ""
6 1 148 2 FALSE ""
137 1 149 2 FALSE ""
101 1 150 2 FALSE ""
124 1 151 2 FALSE ""
76 1 152 7 FALSE ""
142 1 153 2 FALSE ""
210 1 154 3 FALSE ""
53 1 155 1 FALSE ""
175 1 156 7 FALSE ""
148 1 157 2 FALSE ""
127 1 158 2 FALSE ""
156 1 159 2 FALSE ""
3 1 160 2 FALSE ""
78 1 161 2 FALSE ""
42 1 162 2 FALSE ""
140 1 163 2 FALSE ""
119 1 164 7 FALSE ""
48 1 165 2 FALSE ""
203 1 166 7 FALSE ""
130 1 167 2 FALSE ""
158 1 168 2 FALSE ""
180 1 169 6 FALSE ""
204 1 170 7 FALSE ""
10 1 171 1 FALSE ""
70 1 172 7 FALSE ""
123 1 173 2 FALSE ""
60 1 174 1 FALSE ""
195 1 175 7 FALSE ""
192 1 176 3 FALSE ""
67 1 177 2 FALSE ""
82 1 178 7 FALSE ""
99 1 179 2 FALSE ""
105 1 180 2 FALSE ""
85 1 181 7 FALSE ""
154 1 182 2 FALSE ""
191 1 183 3 FALSE ""
61 1 184 2 FALSE ""
171 1 185 7 FALSE ""
51 1 186 1 FALSE ""
200 1 187 7 FALSE ""
83 1 188 2 FALSE ""
157 1 189 2 FALSE ""
11 1 190 1 FALSE ""
166 1 191 7 FALSE ""
39 1 192 1 FALSE ""
144 1 193 2 FALSE ""
96 1 194 2 FALSE ""
197 1 195 7 FALSE ""
170 1 196 7 FALSE ""
65 1 197 2 FALSE ""
14 1 198 1 FALSE ""
198 1 199 7 FALSE ""
206 1 200 7 FALSE ""
126 1 201 2 FALSE ""
129 1 202 2 FALSE ""
28 1 203 7 FALSE ""
134 1 204 2 FALSE ""
112 1 205 2 FALSE ""
167 1 206 7 FALSE ""
177 1 207 7 FALSE ""
5 1 208 1 FALSE ""
12 1 209 1 FALSE ""
41 1 210 2 FALSE ""
172 1 211 7 FALSE ""
190 1 212 7 FALSE ""
116 1 213 2 FALSE ""
125 1 214 2 FALSE ""
23 1 215 7 FALSE ""
215 1 216 1 FALSE ""
50 1 217 2 FALSE ""
176 1 218 7 FALSE ""
184 1 219 7 FALSE ""
16 1 220 1 FALSE ""
